Year of Death,Name,Monarch,Unexpected,Stress Related,Cause of Death
1495,Alfonso II / Naples,,,Yes,Final Illness; after >1 year of deteriorating health
1496,Isabella of Portugal,,,,Dementia
1498,Isabella of Asturias,,Yes,Yes,During Childbirth; She acted dangerously during pregancy
1502,Arthur Tudor,,,,Final Illness; after >1 year of deteriorating health
1503,Elizabeth of York / Plantagenet,,Yes,,Post partum infection
1506,Alexander of Poland,Yes,,,???
1506,Philip I the Handsome / Hapsburg,Yes,Yes,,Typhoid
1515,Louis XII / France,Yes,,,Severe Gout for >1 year
1517,Maria of Aragon,,,,???
1521,Christina / Saxony-Wettin,,,,???
1521,Manuel I the Fortunate of Portugal,Yes,Yes,,Plague
1525,Isabella Hapsburg,,,Yes,Final Illness; after >1 year of deteriorating health
1534,Barbara / Poland,,,,???
1535,Catherina / Saxe-Lauenburg,,Yes,,Fall
1536,Catherine of Aragon,,,,At the time unknown; today heart cancer; sick for >1 year
1539,Isabella of Portugal,,,,Died in Pregnancy; delicate health for >1 year
1541,Margaret Tudor,,Yes,,Palsy; contemporaries thought she would recover
1544,Anthony II / Buono de Lorraine,,,,???
1545,Elizabeth Hapsburg,,,,Final Illness; after >1 year of deteriorating health
1547,Francis I of France/de Valois/,Yes,,Yes,Final Illness; after >1 year of deteriorating health
1547,Albert V von Meckleburg-Schwerin,,,,Old Unremarkable
1554,Joao / Portugal,,,,"Tuberculosis; Ill health througout life, possibly diabetes"
1555,Elizabeth Oldenburg,,,,Old Unremarkable
1558,Charles V of Spain/Habsburg/,Yes,,,Malaria; had suffered from severe gout for several years 
1560,Francis II / France de Valois,Yes,Yes,Yes,Ear Condition (Mastoiditis?) after a few months of illness
1567,Anna Hohenzollern,,,,???
1568,Elizabeth de France,,Yes,,During Childbirth
1571,Joachim II Hector / Hohenzollern,Yes,,,Old Unremarkable
1573,Joana Hapsburg,,,,???
1574,Charles IX / France de Valois,Yes,,Yes,Tuberculosis; health declined >2 years earlier after perpetrating the St. Bartholomew's Day Massacre
1580,Anne of Austria/Habsburg/,,Yes,,Unspecified Illness
1582,Elizabeth of Hesse,,,,???
1585,Anna of Denmark-Oldenburg,,,,Final Illness; after >1 year of deteriorating health
1592,John III / Sweden Vasa,Yes,,Yes,???
1598,John George / Bradenburg Hohenzollern,Yes,,,???
1610,Henry IV of France de Bourbon ,Yes,,,Assassination
1611,Christian II / Saxony /Wettin,Yes,,,???
1611,Margaret of Austria / Habsburg,,Yes,,During Childbirth
1612,Anne Catherine / Hohenzollern,,,,???
1616,Johann Adolf /von Holstein-Gottorp/,,,,???
1619,Anne / Denmark / Oldenburg,,,,Dropsy after 2 years of illness
1625,James I Stuart,Yes,,,Stroke; Sickly in last >1 year of life
1631,Constance of Austria Hapsburg,,Yes,Yes,Stroke
1632,Frederick V of Palatinate/Wittelsbach/,Yes,,,Fever; persistent ill health after boating accident (which killed his son and injured him) 2 years earlier
1640,George William /Hohenzollern/,Yes,,,Old Unremarkable
1643,Louis XIII / France de Bourbon,Yes,,Yes,Tuberculosis and other diseases; after long period of deteriorating health
1644,Elizabeth / France de Bourbon,,,,???
1644,Cecille Renate Hapsburg,,Yes,,Puerperal fever
1646,Maria Anna of Spain/Habsburg/,,,Yes,During Childbirth
1647,Christian Oldenburg,,,,???
1649,Charles I Stuart,Yes,,,Executed
1657,Ferdinand III of Hapsburg,Yes,,,???
1659,Anne-Eleanor of /Hesse-Darmstadt/,,,,???
1660,Mary Henrietta Stuart,,Yes,,Smallpox
1663,Edward of Bavaria/Wittelsbach,,,,???
1663,Marie Christine de Bourbon,,,,Final Illness; after >1 year of deteriorating health
1665,Philip IV of Spain/Habsburg/,Yes,,Yes,Dysentery; depression and poor health >1 year previous
1670,Henrietta Anne Stuart,,,,Gastroenteritis after three years of severe stomach pain
1671,Sophie Eleanor Wettin,,,,???
1675,Charles Emmanuel II / Savoy,,,,???
1678,Louis VI of/Hesse-Darmstadt,,,,???
1680,Marie Hedwig / Hesse-Darmstadt,,Yes,,After Childbirth
1680,John George II / Saxony / Wettin,Yes,,,Old Unremarkable
1683,Elizabeth Henrietta / Hesse-Cassel,,Yes,,Smallpox
1685,Charles II / Palatinate Wittelsbach,Yes,,,???
1685,Sophia Amerlia / Brunswick,,,,???
1685,Charles II Stuart,Yes,Yes,,Uremia
1689,Marie Louise /d'Orleans/,,Yes,,Appendicitis
1690,Mary Anne Christine of Bavaria,,,Yes,Final Illness; after >1 year of deteriorating health
1693,Ulrica Eleanor / Denmark - Oldenburg,,,,Unspecified; Fragile health after difficult childbirth >1 year prior
1694,Mary II Stuart,,Yes,,Smallpox
1695,Christian Albrecht / Holstein-Gottorp,,,,???
1696,Mariana of Austria/Habsburg/,,,,Breast Cancer
1697,Charles XI / Sweden von Simmern,Yes,,,Abdominal Cancer
1699,Christian V / Denmark Oldenburg,Yes,Yes,,Due to injuries from hunting accident
1699,Maria Sophia / Palatinate Wittelsburg,,Yes,,Erysipelas
1700,Charles II of Spain Habsburg,Yes,,,Genetic Conditions; poor health throughout life
1702,Frederick IV /von Holstein-Gottorp/,,,,Artilley Fire
1705,Louise Dorothea / Hohenzollern,,,,During Childbirth; poor health for >1 year previous
1705,Leopold I Habsburg,Yes,,,Heart disease; fragile health >1 year earlier
1705,Sophia Charlotte,,Yes,,Pnuemonia
1708,George / Denmark / Oldenburg,,,Yes,Severe asthma and dropsy; after >1 year of illness
1710,Louis III of Bourbon/de CondÇ/,,,,"""Hopelessly Insane"" for several years prior to death"
1711,Louis  /de France/,,Yes,,Smallpox
1714,Charles du Berry,,Yes,,Due to injuries from recent hunting accident
1714,Mary Louise Gabrielle de Savole,,Yes,,Tuberculosis; ill towards end of life
1715,Charlotte / Brunswick-Wolfenbettel,,Yes,,After Childbirth
1720,Eleanor Magdalene of Neuburg Wittelsburg,,,Yes,Final Illness; after >1 year of deteriorating health
1720,Marie Anna de Conti ,,,,Syphilis; detected >1 year previous
1723,Philippe Duc / Chartes d'Orleans,,,,Executed
1740,Charles VI /Habsburg/,Yes,Yes,,Accidental Mushroom Poisoning
1741,Elizabeth  /de Lorraine,,Yes,,Puerperal Fever
1745,Charles VII Albert of Bavaria,Yes,,Yes,Severe Gout
1746,Philip V of Spain/de Bourbon/,Yes,,Yes,Melancholia; depressed for years before death
1750,Elizabeth / Brunswick-Wolfenbettel,,,,???
1751,Louisa / Hanover,,Yes,,Miscarriage Complications
1757,Sophia Dorothea / Hanover,,,Yes,???
1758,Augustus William / Hohenzollern,,Yes,,"Brain Tumor, not detected"
1758,Maria Magdalena Joseph / Bragana,,,,Severe Asthma throughout her life made worse by obesity late in life
1759,Anne / Hanover,,,Yes,Dropsy; after >1 year of poor health
1759,Elizabeth de France ,,Yes,,Smallpox
1760,Mary Amalia Saxony/Wettin/,,Yes,,Tuberculosis
1763,Federick Augustus II of Saxony (III of Poland) Wettin,Yes,Yes,,Horse Riding Accident
1763,Isabelle of Parma de Bourbon,,,,After Childbirth; fragile from several previous miscarriages
1763,Frederick Christian / Saxony Wetting,Yes,Yes,,Smallpox
1766,Frederick V /Denmark/Oldenburg,Yes,,,Final Illness; after >1 year of deteriorating health
1775,Caroline Matilda / Hanover,,Yes,Yes,Scarlet Fever
1776,Natalie Wilhemina / Hesse-Darmstadt,,Yes,,During Childbirth
1780,Louise Amelia of/Brunswick/,,,,???
1781,Maria Anne / Spain de Bourbon,,,,Heart Disease; manifested 3 years before death
1782,Louis Ulrika / Prussia / Hohenzollern,,,Yes,???
1785,Mary / Spain de Bourbon,,,,???
1787,Frederick / Hesse-Cassel,,,,Old Unremarkable
1788,Augusta Caroline / Brunswick,,Yes,,During Childbirth 
1788,Gabriel Antonio Francis de Bragana,,Yes,,Smallpox
1790,Elizabeth Wilhelmine von Wurttemberg,,,,???
1792,Maria Luisa / Spain de Bourbon,,,,Final Illness; after >1 year of deteriorating health
1792,Leopold II /Habsburg-Lotharingen/,Yes,Yes,,Other Non-infectious; Sudden
1793,Louis XVI of France,Yes,,,Executed
1797,Frederick William II / Hohenzollern,Yes,,Yes,Final Illness; after >1 year of deteriorating health
1801,Alexandra Pavlovna /Romanov,,Yes,,Puerperal fever
1802,Louise de Bourbon,,Yes,,During Childbirth
1803,Louis I of Parma/de Bourbon/,,,,Epileptic Crisis after declining health for >1 year 
1804,Caroline of Parma/de Bourbon,,Yes,,Fever
1805,Frederica Louise / Hesse-Darmstadt,,,,Stroke after years of fragility
1806,Frederick Ferdinand /Hapsburg-Lotharingen/,,,,???
1806,Antonia of Sicily de Bourbon,,Yes,,Tuberculosis
1807,Maria Theresa of/Naples/,,Yes,,Complications from Childbirth
1808,Mary-Elizabeth / Padua Zhringen,,,,???
1808,Christian VII of Denmark/Oldenburg/,Yes,Yes,Yes,Stroke
1810,Louise of /Mecklenburg-Strelitz/,,,Yes,Final Illness; after >1 year of deteriorating health
1813,Sophia Magdalena /Oldenburg/,,,Yes,Stroke; Worsening health >1 year previous
1814,Clementina / AustriaHabsburg Lotharingen,,,,???
1814,JosÇphine de /Tascher/,,,,Pnuemonia
1816,Frederick I /Wurttenberg,Yes,,,???
1816,Friedrich Wilhelm / Nassau-Weilburg,,,,???
1816,Marie Ludovika Hapsburg,,Yes,,Tuberculosis
1817,Charlotte Augusta / Wales / Hannover,,,,Postpartum bleeding; signs of poor health >1 year earlier
1818,Hanover Child (first name unknown),,,,???
1818,Isabella / Portugal Bragana,,,,During Childbirth; Previous childbirth was near fatal
1819,Charles IV / Spain de Bourbon,Yes,,,Final Illness; after >1 year of deteriorating health
1819,Catherine / Russia Pavlovna Romanov,,Yes,,Pnuemonia and Erysipelas
1820,Ferdinand Charles / Berry de Bourbon,,,,Assassination
1820,Wilhelmina Caroline / Oldenburg,,,,Old Unremarkable
1820,Edward Augustus/Hannover,,Yes,,Pnuemonia
1821,Napoleon I Bonaparte,Yes,,,Final Illness; after >1 year of deteriorating health
1821,William IX Hesse-Cassel,Yes,,,Old Unremarkable
1821,Caroline / Hesse-Darmstadt,,,,Old Unremarkable
1823,Catherine / Baden/Zhringen,,,,???
1824,Ferdinand III / Hapsburg-Lotharingen,Yes,,,???
1824,Marie Louise / Spain de Bourbon,Yes,,,Cancer
1824,Victor Emmanuel / Sardiniade Savoy,Yes,,,Old Unremarkable
1825,Maximillian I Joseph / Wittelsbach,Yes,,,Old Unremarkable
1825,Alexander / Pavlovich / Romanov,Yes,,Yes,Typhus; after >1 year of deteriorating health (esp. mental)
1826,Leopoldine  /Habsburg-Lotharingen,,,Yes,Final Illness; after >1 year of deteriorating health
1827,Marie Charlotte / Sardinia Savoy,,,,???
1827,Theresa / Hapsburg-Lotharingen,,,,Final Illness; after >1 year of deteriorating health
1827,Ferdinand / Saxe-Coburg-Gotha,,,,Old Unremarkable
1829,Frederick VI / Hessen-Homburg,,,,???
1829,Mary Josepha / Wettin,,Yes,,Fever
1830,Francis I / Sicily de Bourbon,Yes,,Yes,???
1830,Charlotte / Spain de Bourbon,,,,Final Illness; after >1 year of deteriorating health
1831,Konstantin Pavlovich /Romanov/,,Yes,,Cholera
1832,Caroline / Hapsburg-Lotharingen,,,,???
1833,Ferdinand VII of Spain/de Bourbon/,Yes,,,Final Illness; after >1 year of deteriorating health
1834,Pedro IV of Portugal/de Braganáa/,,,Yes,Tuberculosis; declining health at end of life due to war
1835,Catherine von Wurttemberg,,,,???
1835,Francis II Hapsburg-Lotharingen,Yes,Yes,,Sudden Fever
1836,Christine of Sardinia,,Yes,,After Childbirth
1836,Charles / Hesse-Cassel,,,,Old Unremarkable
1837,Wilhelmina / Hohenzollern,,,Yes,Final Illness; after >1 year of deteriorating health
1837,William IV Henry / Hanover,Yes,,,Old Unremarkable
1838,Maximillian Saxony Wetting,,,,Old Unremarkable
1839,Marie Frederica / Hesse-Cassel,,,,Old Unremarkable
1840,Frederick William III / Hohenzollern,Yes,,,Old Unremarkable
1841,Augusta Hohenzollern,,,,???
1844,Cecilie / Holstein-Gottorp,,Yes,,Puerperal fever (Childbirth)
1844,Ernest I/Saxe-Coburg-Saaifeld,,,,Old Unremarkable
1847,Joseph / Austria Hapsburg-Lotharingen,,,,Old Unremarkable
1847,Charlotte / Saxe-Hildburghausen,,,,Old Unremarkable
1848,Amalie  /von WÅrttemberg/,,,,???
1848,Maria Isabella / Spain de Bourbon,,,,???
1848,Christian VIII / Denmark Oldenburg,Yes,,,Blood Poisoning; fragile health >1 year previous
1849,William II of Netherlands von Nassau,Yes,,Yes,???
1849,Ferdinand / Austria-EsteHapsburg,,Yes,,Typhus
1850,Adolphus Frederick of Cambridge/Hanover/,,,,???
1850,Louise Marie d'Orleans,,Yes,,Tuberculosis
1851,Leopold de Bourbon,,,,???
1851,Auguste Wittelsbach,,,,Old Unremarkable
1852,Leopold I / Baden Zhringen,Yes,,,???
1852,Maximillian / Leuchtenberg,,,,Unspecified - Hereditary
1852,Maria Sophia Frederic / Hesse-Cassel,Yes,,Yes,Old Unremarkable
1852,Paul Charles Frederick von Wurttemberg,,,,Old Unremarkable 
1853,Maria II / Portugal Bragana,Yes,Yes,,During Childbirth
1854,Therese of /Saxe-Hildburghausen/,,,,???
1854,Charles III / Parma de Bourbon,Yes,,,Assassination
1855,Maria Dorothea /von WÅrttemberg/,,,,???
1855,Charles de Molinade Bourbon,,,,???
1855,Teresa  /Habsburg-Lotharingen/,,,Yes,Final Illness; fragile and retiring >4 years before death
1855,Nicholas I Pavlovich/Romanov,Yes,Yes,Yes,Pnuemonia
1857,Victoria / Saxe-Coburg Gotha,,Yes,,After Childbirth
1858,Margaret / Saxony Wettin,,Yes,,Typhoid
1859,Anna / Saxony Wettin,,Yes,,After Childbirth
1859,Ferdinand II / Sicily de Bourbon,Yes,,,Final Illness; after >1 year of deteriorating health
1859,Marie Pavlovna Romanov,,,,Old Unremarkable
1860,Alexandra (Charlotte)/Hohenzollern,,,,Unspecified; after >1 year of deteriorating health
1861,Victoria Mary Louisavon/Saxe-Coburg,,,,Old Unremarkable
1861,Albert Augustus Saxe-Coburg-Gotha,,Yes,Yes,Contemporaries: Typhoid Fever (Moderns: Undiagnosed Stomach Cancer)
1861,Frederick William IV / Hohenzollern,Yes,,Yes,Series of strokes beginning >1 year before death
1862,Mathilde / Wittelsbach,,,,???
1863,Frederick Ferdinand Oldenburg,,,,???
1863,Federick VII of Denmark Oldenburg,Yes,Yes,,Erysipelas
1864,Maximilian II /Wittelsbach/,Yes,,,Final Illness; after >1 year of deteriorating health
1864,William I / Wurttemberg,Yes,,,Old Unremarkable
1865,Sophie Wilhelmina / Holstein-Gottorp,,,,Old Unremarkable
1867,William X / Hesse-Cassel,,,,???
1867,Maximillian / Habsburg-Lotharingen,,,,Executed 
1869,Caroline de Bourbon,,,,Tuberculosis; depressed for >3 years prior due to death of eldest son
1870,Louise Augusta / Hohenzollern,,,,???
1870,Frederick Charles Augustus / Wurttemberg,,,,Ulceration due to hunting accident >1 year previous
1871,Louise von Nassau,,,,Pnuemonia; after long illness
1872,Amelia Maria / Gloria Saxe-Weimar,,,,???
1872,Charles XV / Sweden-Bernadotte,Yes,,,Final Illness; after >1 year of deteriorating health
1873,Auguste Bernadotte,,Yes,,Pnuemonia 
1877,Marie / Saxe-Weimar-Eisenach,,,,Old Unremarkable
1879,Henry / Netherlands / Nassau,,,,???
1880,Marie of Hesse-Darmstadt,,,,Unspecified; after >1 year of deteriorating health
1881,Alexander II Nicholoevich/Romanov,Yes,,,Assassination
1881,August / Saxe-Coburg-Gotha,,,,Unspecified - Old
1883,Frederick Francis Ilvon / Mecklenburg,Yes,,,???
1883,Charles / Hohenzollern,,,,Old Unremarkable
1884,Leopold George Duncan Albert/Wettin,,,,Heamophilia
1885,Alfonso XII of Spain,Yes,,,Tuberculosis and Dysentery; after long period of deteriorating health
1888,Hlne Henrietta von Nassau,,,,???
1888,Frederick III/Germany/Hohenzollern,,Yes,Yes,Cancer of the Larynx (not detected until <1 year of death)
1889,Lues I Portugal / Saxe-Coburg Gotha,Yes,,,???
1889,Rudolf / Habsburg-Lotharingen,,Yes,Yes,Double Suicide
1890,Anton d'Orleans,,,,???
1890,William III / Netherlands von Nassau,Yes,,,Dementia
1890,Marie Louise Augusta / Saxe-Weimar,,,,Old Unremarkable
1891,Alexandra / Schleswig-Holstein-Soderburg,,Yes,,Birth Comblications after a fall
1891,Nicholas Nicholajievic Romanov,,,,Oral and Brain Cancer Leading to Insanity
1894,Louis Philippe d'Orleans,,,,???
1894,Alexander III Alexandrovich/Romanov,Yes,Yes,,Kidney Nephritis
1895,Marie Louise Charlotte / Hesse-Cassel,,,,Old Unremarkable
1896,Louis d'Orleans,,,,Old Unremarkable
1896,Henry Maurice Von Battenburg,,Yes,,Malaria
1896,Karl Ludwig / Hapsburg-Lotharingen,,,,Typhoid two years after debilitating stroke
1897,Sophie of Bavaria,,Yes,,Died in a Fire
1897,Wilhelm / Baden-Zhringen,,,,Old Unremarkable
1898,Elizabeth of Bavaria,,,,Assassination
1899,Sophie of Lichtenstein,,,,???
1899,Marie Louise / Parma de Bourbon,,,Yes,Pnuemonia + Childbirth; frail health >1 year previous
1900,Humbert I / Italy de Savoy,Yes,,,Assassination
1900,Alfred Ernest Albert/Wettin,,,,Throat Cancer
1900,Francis d'Orleans,,,,Old Unremarkable
1901,Victoria Adelaide Mary/Wettin,,,,Breast Cancer
1902,Maria Henrietta Hapsburg-Lotharingen,,,,Final Illness; after >1 year of deteriorating health
1903,Elisabeth / Hapsburg-Lotharingen,,,,???
1905,Philip / Flanders Saxe Coburg,,,,???
1905,Leopold / Hohenzollern-Sigmaringen,,Yes,,Apoplexy
1907,Amulf Wittelsbach,,,,???
1908,Carlos I / Portugal / Saxe-Coburg Gotha,Yes,,,Assassination
1909,Karl Theodor Gackl,,,,???
1910,Edward VII Wettin,Yes,,Yes,Several heart attacks over course of >1 year
1912,George Romanowsky,,,,???
1912,William IV / Luxembourg von Nassau,Yes,,,Final Illness; after >1 year of deteriorating health
1912,Frederick VIII /Schleswig-Holstein/,Yes,Yes,Yes,Paralysis attack
1912,Maria Gabriele / Bavaria,,,,Renal Failure; after previous poor health
1912,Marie Hohenzollern-Signaringen,,Yes,,Pnuemonia 
1913,William George I of Hellenes/Schleswig,Yes,Yes,,Murdered non-political
1915,Constantine Romanov,,,,Unspecified; Health and Spirit Crushed by Death of Son in Battle a >1 year earlier
1917,Louise Margaret / Prussia/Hohenzollern,,Yes,,Influenza
1918,Eduard Georg Wilhelm von Anhalt,,,,???