Capital_Name,Lat,Long,"Source: Wikipedia page for each location. Retrieved December 3, 2018."
Alexandrov Kremlin,"56,394731","38,712037",
Athens,"37,983917","23,72936",
Belgrade,"44,786568","20,448922",
Berlin,"52,520007","13,404954",
,,,
Bratislava,"48,148597","17,107748",
Brussels,"50,85034","4,35171",
Bucharest,"44,426767","26,102538",
Buda,"47,466287","19,049582",
Cagliari,"39,223841","9,121661",
Cetinje,"42,393096","18,911596",
Copenhagen,"55,676097","12,568337",
Darmstadt,"49,872825","8,651193",
Dresden,"51,050409","13,737262",
Dusseldorf,"51,227741","6,773456",
Edinburgh,"55,953252","-3,188267",
Florence,"43,76956","11,255814",
Florence,"43,76956","11,255814",
Frankfurt,"50,110922","8,682127",
Glückstadt,"53,791191","9,42609",
Hanover,"52,375892","9,73201",
Heidelberg,"49,398752","8,672434",
Iasi,"47,158455","27,601442",
Karlsruhe,"49,00689","8,403653",
Kassel,"51,312711","9,479746",
Kraków,"50,06465","19,94498",
Limbourg,"50,620312","5,941893",
Lisbon,"38,722252","-9,139337",
London,"51,507351","-0,127758",
Lucca,"43,837621","10,495061",
Luxembourg,"49,815273","6,129583",
,,,
Madrid,"40,416775","-3,70379",
Mannheim,"49,487459","8,466039",
Moscow,"55,755826","37,6173",
Munich,"48,135125","11,581981",
Naples,"40,851775","14,268124",
Oldenburg,"53,14345","8,214552",
Oslo,"59,913869","10,752245",
Palermo,"38,115688","13,361267",
Pamplona,"42,812526","-1,645775",
Paris,"48,856614","2,352222",
Parma,"44,801485","10,327904",
Prague,"50,075538","14,4378",
Prague,"50,075538","14,4378",
Regensburg,"49,01343","12,101624",
Rio de Janeiro,"-22,906847","-43,172896",
Rome,"41,902784","12,496366",
Saint Petersburg,"59,93428","30,335099",
Salerno,"40,682441","14,768096",
Schwerin,"53,635502","11,40125",
Shkodër,"42,069299","19,503256",
Sofia,"42,697708","23,321868",
Stockholm,"59,329323","18,068581",
Strelitz,"53,388956","13,270803",
Stuttgart,"48,775846","9,182932",
Suceava,"47,663452","26,27323",
The Hague,"52,070498","4,3007",
Turin,"45,070312","7,686856",
Vaduz,"47,14103","9,520928",
Valladolid,"41,652251","-4,724532",
Venice,"45,440847","12,315515",
Versailles,"48,801408","2,130122",
Vienna,"48,208174","16,373819",
Vilnius,"54,687156","25,279651",
Warsaw,"52,229676","21,012229",
Weimar,"50,979493","11,323544",
Zaragoza,"41,648823","-0,889085",