id,year,type
1835,1637,Balance of Power
1836,1637,Balance of Power
1837,1637,Balance of Power
1838,1637,Balance of Power
1839,1637,Balance of Power
1840,1637,Balance of Power
1841,1637,Balance of Power
1842,1637,Balance of Power
1843,1637,Balance of Power
1844,1637,Balance of Power
1845,1637,Balance of Power
1846,1638,Balance of Power
1847,1638,Balance of Power
1848,1638,Balance of Power
1849,1638,Balance of Power
1850,1638,Balance of Power
1851,1638,Balance of Power
1852,1638,Balance of Power
1853,1638,Balance of Power
1854,1638,Balance of Power
1855,1638,Balance of Power
1856,1638,Balance of Power
1857,1638,Balance of Power
1858,1639,Balance of Power
1859,1639,Balance of Power
1860,1639,Balance of Power
1861,1639,Balance of Power
1862,1639,Balance of Power
1863,1639,Balance of Power
1864,1639,Balance of Power
1865,1639,Balance of Power
1866,1639,Balance of Power
1867,1639,Balance of Power
1868,1639,Balance of Power
1869,1639,Balance of Power
1870,1640,Balance of Power
1871,1640,Balance of Power
1872,1640,Balance of Power
1873,1640,Balance of Power
1874,1640,Balance of Power
1875,1640,Balance of Power
1876,1640,Balance of Power
1877,1640,Balance of Power
1878,1640,Balance of Power
1879,1640,Balance of Power
1880,1640,Balance of Power
1881,1640,Balance of Power
1882,1641,Balance of Power
1883,1641,Balance of Power
1884,1641,Balance of Power
1885,1641,Balance of Power
1886,1641,Balance of Power
1887,1641,Balance of Power
1888,1641,Balance of Power
1889,1641,Balance of Power
1890,1641,Balance of Power
1891,1641,Balance of Power
1892,1642,Balance of Power
1893,1642,Balance of Power
1894,1642,Balance of Power
1895,1642,Balance of Power
1896,1642,Balance of Power
1897,1642,Balance of Power
1898,1642,Balance of Power
1899,1642,Balance of Power
1900,1642,Balance of Power
1901,1642,Balance of Power
1902,1642,Balance of Power
1903,1642,Balance of Power
1904,1643,Balance of Power
1905,1643,Balance of Power
1906,1643,Balance of Power
1907,1643,Balance of Power
1908,1643,Balance of Power
1909,1643,Balance of Power
1910,1643,Balance of Power
1911,1643,Balance of Power
1912,1643,Balance of Power
1913,1643,Balance of Power
1914,1643,Balance of Power
1915,1643,Balance of Power
1916,1644,Balance of Power
1917,1644,Balance of Power
1918,1644,Balance of Power
1919,1644,Balance of Power
1920,1644,Balance of Power
1921,1644,Balance of Power
1922,1644,Balance of Power
1923,1644,Balance of Power
1924,1644,Balance of Power
1925,1644,Balance of Power
1926,1644,Balance of Power
1927,1644,Balance of Power
1928,1645,Balance of Power
1929,1645,Balance of Power
1930,1645,Balance of Power
1931,1645,Balance of Power
1932,1645,Balance of Power
1933,1645,Balance of Power
1934,1646,Balance of Power
1935,1646,Balance of Power
1936,1646,Balance of Power
1937,1646,Balance of Power
1938,1647,Balance of Power
1939,1647,Balance of Power
1940,1647,Balance of Power
1941,1647,Balance of Power
1942,1647,Balance of Power
1943,1647,Balance of Power
1944,1648,Balance of Power
1945,1648,Balance of Power
1946,1648,Balance of Power
1947,1648,Balance of Power
1948,1648,Balance of Power
1949,1648,Balance of Power
1950,1740,Balance of Power
1951,1740,Balance of Power
1952,1740,Balance of Power
1953,1740,Balance of Power
1954,1740,Balance of Power
1955,1740,Balance of Power
1956,1740,Balance of Power
1957,1740,Balance of Power
1958,1740,Balance of Power
1959,1740,Balance of Power
1960,1740,Balance of Power
1961,1740,Balance of Power
1962,1740,Balance of Power
1963,1740,Balance of Power
1964,1740,Balance of Power
1965,1741,Balance of Power
1966,1741,Balance of Power
1967,1741,Balance of Power
1968,1741,Balance of Power
1969,1741,Balance of Power
1970,1741,Balance of Power
1971,1741,Balance of Power
1972,1741,Balance of Power
1973,1741,Balance of Power
1974,1741,Balance of Power
1975,1741,Balance of Power
1976,1741,Balance of Power
1977,1741,Balance of Power
1978,1741,Balance of Power
1979,1741,Balance of Power
1980,1741,Balance of Power
1981,1741,Balance of Power
1982,1741,Balance of Power
1983,1741,Balance of Power
1984,1741,Balance of Power
1985,1742,Balance of Power
1986,1742,Balance of Power
1987,1742,Balance of Power
1988,1742,Balance of Power
1989,1742,Balance of Power
1990,1742,Balance of Power
1991,1742,Balance of Power
1992,1742,Balance of Power
1993,1742,Balance of Power
1994,1742,Balance of Power
1995,1742,Balance of Power
1996,1742,Balance of Power
1997,1742,Balance of Power
1998,1742,Balance of Power
1999,1742,Balance of Power
2000,1742,Balance of Power
2001,1742,Balance of Power
2002,1742,Balance of Power
2003,1742,Balance of Power
2004,1742,Balance of Power
2005,1742,Balance of Power
2006,1743,Balance of Power
2007,1743,Balance of Power
2008,1743,Balance of Power
2009,1743,Balance of Power
2010,1743,Balance of Power
2011,1743,Balance of Power
2012,1743,Balance of Power
2013,1743,Balance of Power
2014,1743,Balance of Power
2015,1743,Balance of Power
2016,1743,Balance of Power
2017,1743,Balance of Power
2018,1743,Balance of Power
2019,1743,Balance of Power
2020,1743,Balance of Power
2021,1743,Balance of Power
2022,1743,Balance of Power
2023,1743,Balance of Power
2024,1743,Balance of Power
2025,1743,Balance of Power
2026,1743,Balance of Power
2027,1743,Balance of Power
2028,1743,Balance of Power
2029,1743,Balance of Power
2030,1744,Balance of Power
2031,1744,Balance of Power
2032,1744,Balance of Power
2033,1744,Balance of Power
2034,1744,Balance of Power
2035,1744,Balance of Power
2036,1744,Balance of Power
2037,1744,Balance of Power
2038,1744,Balance of Power
2039,1744,Balance of Power
2040,1744,Balance of Power
2041,1744,Balance of Power
2042,1744,Balance of Power
2043,1744,Balance of Power
2044,1744,Balance of Power
2045,1744,Balance of Power
2046,1744,Balance of Power
2047,1744,Balance of Power
2048,1744,Balance of Power
2049,1744,Balance of Power
2050,1744,Balance of Power
2051,1744,Balance of Power
2052,1744,Balance of Power
2053,1744,Balance of Power
2054,1745,Balance of Power
2055,1745,Balance of Power
2056,1745,Balance of Power
2057,1745,Balance of Power
2058,1745,Balance of Power
2059,1745,Balance of Power
2060,1745,Balance of Power
2061,1745,Balance of Power
2062,1745,Balance of Power
2063,1745,Balance of Power
2064,1745,Balance of Power
2065,1745,Balance of Power
2066,1745,Balance of Power
2067,1745,Balance of Power
2068,1745,Balance of Power
2069,1745,Balance of Power
2070,1745,Balance of Power
2071,1745,Balance of Power
2072,1745,Balance of Power
2073,1745,Balance of Power
2074,1745,Balance of Power
2075,1745,Balance of Power
2076,1745,Balance of Power
2077,1745,Balance of Power
2078,1745,Balance of Power
2079,1745,Balance of Power
2080,1745,Balance of Power
2081,1745,Balance of Power
2082,1745,Balance of Power
2083,1745,Balance of Power
2084,1745,Balance of Power
2085,1746,Balance of Power
2086,1746,Balance of Power
2087,1746,Balance of Power
2088,1746,Balance of Power
2089,1746,Balance of Power
2090,1746,Balance of Power
2091,1746,Balance of Power
2092,1746,Balance of Power
2093,1746,Balance of Power
2094,1746,Balance of Power
2095,1746,Balance of Power
2096,1746,Balance of Power
2097,1746,Balance of Power
2098,1746,Balance of Power
2099,1746,Balance of Power
2100,1746,Balance of Power
2101,1746,Balance of Power
2102,1746,Balance of Power
2103,1746,Balance of Power
2104,1746,Balance of Power
2105,1746,Balance of Power
2106,1746,Balance of Power
2107,1746,Balance of Power
2108,1746,Balance of Power
2109,1747,Balance of Power
2110,1747,Balance of Power
2111,1747,Balance of Power
2112,1747,Balance of Power
2113,1747,Balance of Power
2114,1747,Balance of Power
2115,1747,Balance of Power
2116,1747,Balance of Power
2117,1747,Balance of Power
2118,1747,Balance of Power
2119,1747,Balance of Power
2120,1747,Balance of Power
2121,1747,Balance of Power
2122,1747,Balance of Power
2123,1747,Balance of Power
2124,1747,Balance of Power
2125,1747,Balance of Power
2126,1747,Balance of Power
2127,1747,Balance of Power
2128,1747,Balance of Power
2129,1747,Balance of Power
2130,1747,Balance of Power
2131,1747,Balance of Power
2132,1747,Balance of Power
2133,1748,Balance of Power
2134,1748,Balance of Power
2135,1748,Balance of Power
2136,1748,Balance of Power
2137,1748,Balance of Power
2138,1748,Balance of Power
2139,1748,Balance of Power
2140,1748,Balance of Power
2141,1748,Balance of Power
2142,1748,Balance of Power
2143,1748,Balance of Power
2144,1748,Balance of Power
2145,1748,Balance of Power
2146,1748,Balance of Power
2147,1748,Balance of Power
2148,1748,Balance of Power
2149,1748,Balance of Power
2150,1748,Balance of Power
2151,1748,Balance of Power
2152,1748,Balance of Power
2153,1748,Balance of Power
2154,1748,Balance of Power
2155,1748,Balance of Power
2156,1748,Balance of Power
2157,1600,Civil
2158,1601,Civil
2159,1602,Civil
2160,1603,Civil
2161,1604,Civil
2162,1605,Civil
2163,1606,Civil
2164,1607,Civil
2165,1608,Civil
2166,1609,Civil
2167,1739,Balance of Power
2168,1739,Balance of Power
2169,1733,Balance of Power
2170,1733,Balance of Power
2171,1733,Balance of Power
2172,1733,Balance of Power
2173,1733,Balance of Power
2174,1733,Balance of Power
2175,1733,Balance of Power
2176,1733,Balance of Power
2177,1733,Balance of Power
2178,1734,Balance of Power
2179,1734,Balance of Power
2180,1734,Balance of Power
2181,1734,Balance of Power
2182,1734,Balance of Power
2183,1734,Balance of Power
2184,1734,Balance of Power
2185,1734,Balance of Power
2186,1734,Balance of Power
2187,1735,Balance of Power
2188,1735,Balance of Power
2189,1735,Balance of Power
2190,1735,Balance of Power
2191,1735,Balance of Power
2192,1735,Balance of Power
2193,1735,Balance of Power
2194,1735,Balance of Power
2195,1735,Balance of Power
2196,1736,Balance of Power
2197,1736,Balance of Power
2198,1736,Balance of Power
2199,1736,Balance of Power
2200,1736,Balance of Power
2201,1736,Balance of Power
2202,1736,Balance of Power
2203,1736,Balance of Power
2204,1736,Balance of Power
2205,1737,Balance of Power
2206,1737,Balance of Power
2207,1737,Balance of Power
2208,1737,Balance of Power
2209,1737,Balance of Power
2210,1737,Balance of Power
2211,1737,Balance of Power
2212,1737,Balance of Power
2213,1737,Balance of Power
2214,1738,Balance of Power
2215,1738,Balance of Power
2216,1738,Balance of Power
2217,1738,Balance of Power
2218,1738,Balance of Power
2219,1738,Balance of Power
2220,1738,Balance of Power
2221,1738,Balance of Power
2222,1738,Balance of Power
2223,1718,Balance of Power
2224,1718,Balance of Power
2225,1701,Balance of Power
2226,1701,Balance of Power
2227,1701,Balance of Power
2228,1701,Balance of Power
2229,1701,Balance of Power
2230,1701,Balance of Power
2231,1701,Balance of Power
2232,1701,Balance of Power
2233,1701,Balance of Power
2234,1701,Balance of Power
2235,1701,Balance of Power
2236,1701,Balance of Power
2237,1701,Balance of Power
2238,1701,Balance of Power
2239,1701,Balance of Power
2240,1701,Balance of Power
2241,1701,Balance of Power
2242,1701,Balance of Power
2243,1701,Balance of Power
2244,1701,Balance of Power
2245,1702,Balance of Power
2246,1702,Balance of Power
2247,1702,Balance of Power
2248,1702,Balance of Power
2249,1702,Balance of Power
2250,1702,Balance of Power
2251,1702,Balance of Power
2252,1702,Balance of Power
2253,1702,Balance of Power
2254,1702,Balance of Power
2255,1702,Balance of Power
2256,1702,Balance of Power
2257,1702,Balance of Power
2258,1702,Balance of Power
2259,1702,Balance of Power
2260,1702,Balance of Power
2261,1702,Balance of Power
2262,1702,Balance of Power
2263,1702,Balance of Power
2264,1702,Balance of Power
2265,1703,Balance of Power
2266,1703,Balance of Power
2267,1703,Balance of Power
2268,1703,Balance of Power
2269,1703,Balance of Power
2270,1703,Balance of Power
2271,1703,Balance of Power
2272,1703,Balance of Power
2273,1703,Balance of Power
2274,1703,Balance of Power
2275,1703,Balance of Power
2276,1703,Balance of Power
2277,1703,Balance of Power
2278,1703,Balance of Power
2279,1703,Balance of Power
2280,1703,Balance of Power
2281,1703,Balance of Power
2282,1703,Balance of Power
2283,1703,Balance of Power
2284,1703,Balance of Power
2285,1704,Balance of Power
2286,1704,Balance of Power
2287,1704,Balance of Power
2288,1704,Balance of Power
2289,1704,Balance of Power
2290,1704,Balance of Power
2291,1704,Balance of Power
2292,1704,Balance of Power
2293,1704,Balance of Power
2294,1704,Balance of Power
2295,1704,Balance of Power
2296,1704,Balance of Power
2297,1704,Balance of Power
2298,1704,Balance of Power
2299,1704,Balance of Power
2300,1704,Balance of Power
2301,1704,Balance of Power
2302,1704,Balance of Power
2303,1704,Balance of Power
2304,1704,Balance of Power
2305,1705,Balance of Power
2306,1705,Balance of Power
2307,1705,Balance of Power
2308,1705,Balance of Power
2309,1705,Balance of Power
2310,1705,Balance of Power
2311,1705,Balance of Power
2312,1705,Balance of Power
2313,1705,Balance of Power
2314,1705,Balance of Power
2315,1706,Balance of Power
2316,1706,Balance of Power
2317,1706,Balance of Power
2318,1706,Balance of Power
2319,1706,Balance of Power
2320,1706,Balance of Power
2321,1706,Balance of Power
2322,1706,Balance of Power
2323,1706,Balance of Power
2324,1706,Balance of Power
2325,1707,Balance of Power
2326,1707,Balance of Power
2327,1707,Balance of Power
2328,1707,Balance of Power
2329,1707,Balance of Power
2330,1707,Balance of Power
2331,1707,Balance of Power
2332,1707,Balance of Power
2333,1707,Balance of Power
2334,1707,Balance of Power
2335,1708,Balance of Power
2336,1708,Balance of Power
2337,1708,Balance of Power
2338,1708,Balance of Power
2339,1708,Balance of Power
2340,1708,Balance of Power
2341,1708,Balance of Power
2342,1708,Balance of Power
2343,1708,Balance of Power
2344,1708,Balance of Power
2345,1709,Balance of Power
2346,1709,Balance of Power
2347,1709,Balance of Power
2348,1709,Balance of Power
2349,1709,Balance of Power
2350,1709,Balance of Power
2351,1709,Balance of Power
2352,1709,Balance of Power
2353,1709,Balance of Power
2354,1709,Balance of Power
2355,1710,Balance of Power
2356,1710,Balance of Power
2357,1710,Balance of Power
2358,1710,Balance of Power
2359,1710,Balance of Power
2360,1710,Balance of Power
2361,1710,Balance of Power
2362,1710,Balance of Power
2363,1710,Balance of Power
2364,1710,Balance of Power
2365,1711,Balance of Power
2366,1711,Balance of Power
2367,1711,Balance of Power
2368,1711,Balance of Power
2369,1711,Balance of Power
2370,1711,Balance of Power
2371,1711,Balance of Power
2372,1711,Balance of Power
2373,1711,Balance of Power
2374,1711,Balance of Power
2375,1712,Balance of Power
2376,1712,Balance of Power
2377,1712,Balance of Power
2378,1712,Balance of Power
2379,1712,Balance of Power
2380,1712,Balance of Power
2381,1712,Balance of Power
2382,1712,Balance of Power
2383,1712,Balance of Power
2384,1712,Balance of Power
2385,1585,Balance of Power
2386,1586,Balance of Power
2387,1587,Balance of Power
2388,1588,Balance of Power
2389,1589,Balance of Power
2390,1590,Balance of Power
2391,1591,Balance of Power
2392,1592,Balance of Power
2393,1593,Balance of Power
2394,1594,Balance of Power
2395,1595,Balance of Power
2396,1596,Balance of Power
2397,1597,Balance of Power
2398,1598,Balance of Power
2399,1599,Balance of Power
2400,1600,Balance of Power
2401,1601,Balance of Power
2402,1602,Balance of Power
2403,1603,Balance of Power
2404,1604,Balance of Power
2405,1778,Balance of Power
2406,1778,Balance of Power
2407,1778,Balance of Power
2408,1778,Balance of Power
2409,1778,Balance of Power
2410,1778,Balance of Power
2411,1778,Balance of Power
2412,1778,Balance of Power
2413,1779,Balance of Power
2414,1779,Balance of Power
2415,1779,Balance of Power
2416,1779,Balance of Power
2417,1779,Balance of Power
2418,1779,Balance of Power
2419,1779,Balance of Power
2420,1779,Balance of Power
2421,1511,Balance of Power
2422,1512,Balance of Power
2423,1512,Balance of Power
2424,1513,Balance of Power
2425,1513,Balance of Power
2426,1513,Balance of Power
2427,1514,Balance of Power
2428,1514,Balance of Power
2429,1514,Balance of Power
2430,1508,Balance of Power
2431,1508,Balance of Power
2432,1508,Balance of Power
2433,1509,Balance of Power
2434,1509,Balance of Power
2435,1509,Balance of Power
2436,1590,Civil
2437,1590,Civil
2438,1591,Civil
2439,1591,Civil
2440,1592,Civil
2441,1592,Civil
2442,1593,Civil
2443,1593,Civil
2444,1594,Civil
2445,1594,Civil
2446,1595,Civil
2447,1595,Civil
2448,1596,Civil
2449,1596,Civil
2450,1597,Civil
2451,1597,Civil
2452,1598,Civil
2453,1598,Civil
2454,1600,Balance of Power
2455,1600,Balance of Power
2456,1601,Balance of Power
2457,1601,Balance of Power
2458,1602,Balance of Power
2459,1602,Balance of Power
2460,1603,Balance of Power
2461,1603,Balance of Power
2462,1604,Balance of Power
2463,1604,Balance of Power
2464,1605,Balance of Power
2465,1605,Balance of Power
2466,1606,Balance of Power
2467,1606,Balance of Power
2468,1607,Balance of Power
2469,1607,Balance of Power
2470,1608,Balance of Power
2471,1608,Balance of Power
2472,1609,Balance of Power
2473,1609,Balance of Power
2474,1610,Balance of Power
2475,1610,Balance of Power
2476,1611,Balance of Power
2477,1611,Balance of Power
2478,1612,Balance of Power
2479,1612,Balance of Power
2480,1613,Balance of Power
2481,1613,Balance of Power
2482,1614,Balance of Power
2483,1614,Balance of Power
2484,1615,Balance of Power
2485,1615,Balance of Power
2486,1616,Balance of Power
2487,1616,Balance of Power
2488,1617,Balance of Power
2489,1617,Balance of Power
2490,1618,Balance of Power
2491,1618,Balance of Power
2492,1619,Balance of Power
2493,1619,Balance of Power
2494,1620,Balance of Power
2495,1620,Balance of Power
2496,1621,Balance of Power
2497,1621,Balance of Power
2498,1622,Balance of Power
2499,1622,Balance of Power
2500,1623,Balance of Power
2501,1623,Balance of Power
2502,1624,Balance of Power
2503,1624,Balance of Power
2504,1625,Balance of Power
2505,1625,Balance of Power
2506,1626,Balance of Power
2507,1626,Balance of Power
2508,1627,Balance of Power
2509,1627,Balance of Power
2510,1628,Balance of Power
2511,1628,Balance of Power
2512,1629,Balance of Power
2513,1629,Balance of Power
2514,1914,Balance of Power
2515,1914,Balance of Power
2516,1914,Balance of Power
2517,1914,Balance of Power
2518,1914,Balance of Power
2519,1914,Balance of Power
2520,1914,Balance of Power
2521,1914,Balance of Power
2522,1914,Balance of Power
2523,1914,Balance of Power
2524,1915,Balance of Power
2525,1915,Balance of Power
2526,1915,Balance of Power
2527,1915,Balance of Power
2528,1915,Balance of Power
2529,1915,Balance of Power
2530,1915,Balance of Power
2531,1915,Balance of Power
2532,1915,Balance of Power
2533,1915,Balance of Power
2534,1915,Balance of Power
2535,1915,Balance of Power
2536,1915,Balance of Power
2537,1915,Balance of Power
2538,1915,Balance of Power
2539,1915,Balance of Power
2540,1915,Balance of Power
2541,1915,Balance of Power
2542,1916,Balance of Power
2543,1916,Balance of Power
2544,1916,Balance of Power
2545,1916,Balance of Power
2546,1916,Balance of Power
2547,1916,Balance of Power
2548,1916,Balance of Power
2549,1916,Balance of Power
2550,1916,Balance of Power
2551,1916,Balance of Power
2552,1916,Balance of Power
2553,1916,Balance of Power
2554,1916,Balance of Power
2555,1916,Balance of Power
2556,1916,Balance of Power
2557,1916,Balance of Power
2558,1916,Balance of Power
2559,1916,Balance of Power
2560,1916,Balance of Power
2561,1916,Balance of Power
2562,1916,Balance of Power
2563,1916,Balance of Power
2564,1916,Balance of Power
2565,1916,Balance of Power
2566,1917,Balance of Power
2567,1917,Balance of Power
2568,1917,Balance of Power
2569,1917,Balance of Power
2570,1917,Balance of Power
2571,1917,Balance of Power
2572,1917,Balance of Power
2573,1917,Balance of Power
2574,1917,Balance of Power
2575,1917,Balance of Power
2576,1917,Balance of Power
2577,1917,Balance of Power
2578,1917,Balance of Power
2579,1917,Balance of Power
2580,1917,Balance of Power
2581,1917,Balance of Power
2582,1917,Balance of Power
2583,1917,Balance of Power
2584,1917,Balance of Power
2585,1917,Balance of Power
2586,1917,Balance of Power
2587,1917,Balance of Power
2588,1917,Balance of Power
2589,1917,Balance of Power
2590,1917,Balance of Power
2591,1917,Balance of Power
2592,1917,Balance of Power
2593,1918,Balance of Power
2594,1918,Balance of Power
2595,1918,Balance of Power
2596,1918,Balance of Power
2597,1918,Balance of Power
2598,1918,Balance of Power
2599,1918,Balance of Power
2600,1918,Balance of Power
2601,1918,Balance of Power
2602,1918,Balance of Power
2603,1918,Balance of Power
2604,1918,Balance of Power
2605,1918,Balance of Power
2606,1918,Balance of Power
2607,1918,Balance of Power
2608,1918,Balance of Power
2609,1918,Balance of Power
2610,1918,Balance of Power
2611,1918,Balance of Power
2612,1918,Balance of Power
2613,1918,Balance of Power
